"日期","車號","里程","細項","實收金額","備註","","","","","","","","","","","","","","","","","","","",""
"2021/2/26","EQB-7590","8681","螺絲640，前水行俠2050，後水行俠1850，前齒850，後齒3500，齒盤墊片500，大牌背板1200，鍊條蓋1200，EK鍊條工資366","12156","","","","","","","","","","","","","","","","","","","","",""
"2021/2/26","EMQ-9675","13323","EK黑金鍊3500，前齒850，ZOO後齒3500，NCY齒盤座4000，KOSO鍊條蓋1200(贈螺絲)","13050","","","","","","","","","","","","","","","","","","","","",""
"2021/2/28","EMG-0850","2361","後齒3500，前齒850，齒盤墊片500，後輪內套管800，後輪培林400","6050","","","","","","","","","","","","","","","","","","","","",""
"2021/2/28","EMY-2253","","惡搞飛炫(藍)2100","2100","","","","","","","","","","","","","","","","","","","","",""
"2021/2/28","EMG-8268","","買二手車","30000","","","","","","","","","","","","","","","","","","","","",""
"2021/3/1","EMD-1593","","卡鉗7500，碟盤2700，卡座1000","11200","","","","","","","","","","","","","","","","","","","","",""
"2021/3/2","EPG-0723","","鍛框(前)，鍛框(後)，前避震(前)，後避震(後)","82490","","","","","","","","","","","","","","","","","","","","",""
"2021/3/3","ENP-2632","4944","黑準防盜款1780","1780","","","","","","","","","","","","","","","","","","","","",""
"2021/3/3","EQB-5601","","子彈袋150，MAGAZI碳纖維後視鏡 1500","1650","","","","","","","","","","","","","","","","","","","","",""
"2021/3/4","EPG-0723","9782","傑能拉桿(短) 左+右 2000，車牌框(黑)1200，座墊4980，絞鍊650，後碟螺絲1500，後視鏡螺絲*2 640，前鈦輪心5140","16000","","","","","","","","","","","","","","","","","","","","",""
"2021/3/5","EMF-1859","24638","五匹手機架1200","1200","","","","","","","","","","","","","","","","","","","","",""
"2021/3/5","ENB-9138","10343","水行俠後輪2250","2250","","","","","","","","","","","","","","","","","","","","",""
"2021/3/6","EPG-9919","15607","KOSO頭燈+尾燈9700，照地燈2300，黑準手機架1600","13600","","","","","","","","","","","","","","","","","","","","",""
"2021/3/8","ECX-5355","","內土除600","600","","","","","","","","","","","","","","","","","","","","",""
"2021/3/8","EPG-0723","","BPM後來令1600","1600","","","","","","","","","","","","","","","","","","","","",""
"2021/3/9","EMY-0287","24182","ZOO43T後齒3500，RK前齒850，ZOO齒盤墊片500，牌照框1200","6050","","","","","","","","","","","","","","","","","","","","",""
"2021/3/9","EQB-5601","1451","POSI後靠背2480，黑準防盜手機架1780","4260","","","","","","","","","","","","","","","","","","","","",""
"2021/3/10","EQB-7590","","轉向2800","2800","","","","","","","","","","","","","","","","","","","","",""
"2021/3/10","EPG-0723","","NCY前碟盤3800","3800","","","","","","","","","","","","","","","","","","","","",""
"2021/3/11","EMY-3330","","螺絲260","260","","","","","","","","","","","","","","","","","","","","",""
"2021/3/11","EPF-0893","16810","RK前齒650，ZOO後齒3500，EK黑金鍊2850，RR4000，ZOO墊片500，鍊條油200，螺絲260","11960","","","","","","","","","","","","","","","","","","","","",""
"2021/3/11","EPG-0723","","鈦後輪心7490，鈦螺絲560","8050","","","","","","","","","","","","","","","","","","","","",""
"2021/3/12","EMW-9165","17933","BPM前來令750","750","","","","","","","","","","","","","","","","","","","","",""
"2021/3/12","EPF-6566","11325","KOSO防倒球850","850","","","","","","","","","","","","","","","","","","","","",""
"2021/3/13","EMQ-0962","29327","黑準防盜手機架1780，新雅USB1500","3280","","","","","","","","","","","","","","","","","","","","",""
"2021/3/13","EMQ-9675","","KOSO頭燈5700，KOSO尾燈4200，後輪套管950，培林850，內套管400","12100","","","","","","","","","","","","","","","","","","","","",""
"2021/3/14","ENP-0393","","水行俠(F)2150，FRANDO後煞車皮800，手機架1600","4550","","","","","","","","","","","","","","","","","","","","",""
"2021/3/15","EMQ-0962","","ZOO齒盤墊片500","500","","","","","","","","","","","","","","","","","","","","",""
"2021/3/15","EME-5858","62463","水行俠 110/70/12 1650，100/90/12 2100","3750","","","","","","","","","","","","","","","","","","","","",""
"2021/3/16","EMG-7136","24693","LMG皮帶8800，座墊絞鍊650","9450","","","","","","","","","","","","","","","","","","","","",""
"2021/3/16","MKE-3076","","油管1700，原廠左後視鏡(亮面)450","2150","","","","","","","","","","","","","","","","","","","","",""
"2021/3/17","EQB-1117","21176","LMG皮帶8800，後輪心1250，套管500","10550","","","","","","","","","","","","","","","","","","","","",""
"2021/3/19","EPD-8838","25112","珠碗2000，FRAND前煞車皮1000","3000","","","","","","","","","","","","","","","","","","","","",""
"2021/3/19","EMQ-8038","15587","POSI 2480","2480","","","","","","","","","","","","","","","","","","","","",""
"2021/3/19","EMG-5913","9817","珠碗2000，天使前+後5400，前輪套管650","8050","","","","","","","","","","","","","","","","","","","","",""
"2021/3/20","EQB-5527","3784","行車紀錄器代工1500，後視鏡支架160，螺絲140","1800","","","","","","","","","","","","","","","","","","","","",""
"2021/3/20","EMG-5993","13459","後煞車(F)800","800","","","","","","","","","","","","","","","","","","","","",""
"2021/3/20","EPG-0723","10736","卡夢左+右護蓋8000，烤漆3800，ZOO短拉桿4000","15800","","","","","","","","","","","","","","","","","","","","",""
"2021/3/20","EMQ-9675","","加速器5000，FASS坐墊4980，握把套1000，背板1200，手機架1780，套筒300，坐墊絞鍊650","14900","","","","","","","","","","","","","","","","","","","","",""
"2021/3/22","EPG-0723","","螺絲M5*30*4 320，5*15 50","370","","","","","","","","","","","","","","","","","","","","",""
"2021/3/23","EMY-0287","20000","油管*2 3400，ANCHOR總泵8600，惡搞飛炫2000","14000","","","","","","","","","","","","","","","","","","","","",""
"2021/3/25","EQB-7590","","KOSO頭燈5700，防盜黑準1780，卡夢風鏡1000，MAGAZI後視鏡1600","10080","","","","","","","","","","","","","","","","","","","","",""
"2021/3/25","EPF-0893","17818","鍊條蓋400，白鐵螺絲*2 280","680","","","","","","","","","","","","","","","","","","","","",""
"2021/3/25","EPG-3599","148","車牌框1200","1200","","","","","","","","","","","","","","","","","","","","",""
"2021/3/26","EQB-7590","9178","惡搞飛炫(黑)2100","2100","","","","","","","","","","","","","","","","","","","","",""
"2021/3/29","EMP-7958","39182","RR後4000","4200","","","","","","","","","","","","","","","","","","","","",""
"2021/3/29","EMG-7136","25032","主腳架1700","1700","","","","","","","","","","","","","","","","","","","","",""
"2021/3/30","EPG-0723","11358","CMSR (R) 2250","2250","","","","","","","","","","","","","","","","","","","","",""
"2021/3/30","EMQ-2689","15800","水行俠(R)2250","2250","","","","","","","","","","","","","","","","","","","","",""
"2021/3/31","EPG-0723","11408","鈦螺絲500+500","1000","","","","","","","","","","","","","","","","","","","","",""
"2021/4/1","EQB-6293","3913","JZ拉桿1900","1900","","","","","","","","","","","","","","","","","","","","",""
"2021/4/1","EPG-0723","11438","CMSR (F) 2300","2300","","","","","","","","","","","","","","","","","","","","",""
"2021/4/4","EPG-3599","728","黑準(防盜)1780，行車紀錄器代工1500","3280","","","","","","","","","","","","","","","","","","","","",""
"2021/4/6","EPG-0723","11936","油管4600，油杯800，煞車油300，防爆水管3000","8700","","","","","","","","","","","","","","","","","","","","",""
"2021/4/6","MMB-9898","19027","BPM前煞車1200","1200","","","","","","","","","","","","","","","","","","","","",""
"2021/4/7","EQB-7590","10603","代工油管總泵2000，油杯支架600，馬達內齒6300，油封500","9400","","","","","","","","","","","","","","","","","","","","",""
"2021/4/7","EPG-0723","","加速器5000","5000","","","","","","","","","","","","","","","","","","","","",""
"2021/4/10","EMG-6191","39267","中古坐墊1000，惡搞飛炫2100","3100","","","","","","","","","","","","","","","","","","","","",""
"2021/4/11","EMY-2390","6294","握把套500，加油管400","900","","","","","","","","","","","","","","","","","","","","",""
"2021/4/14","EMY-0287","25776","黑準手機架1600，螺絲120","1720","","","","","","","","","","","","","","","","","","","","",""
"2021/4/15","EPG-0723","","握把500，加油管500，估價","1000","","","","","","","","","","","","","","","","","","","","",""
"2021/4/15","EMW-1810","10281","握把500，加油管700，端子鏡2200，拉桿1900","5300","","","","","","","","","","","","","","","","","","","","",""
"2021/4/17","ENP-1867","33209","FRANDO後煞車皮1000","1000","","","","","","","","","","","","","","","","","","","","",""
